vessel_name,imo
DIAMOND ETERNITY,9993468
DIJILAH,9829629
DINA F,9367750
DONG MINH,9180035
DREAM STAR,9582996
DUKE II,9399090
EASTERN CAMELLIA,9617480
EASTERN GARDENIA,9553220
EASTERN HEATHER,9948023
EASTERN NYMPHAEA,9827994
EASTERN ORCHID,9827970
EASTERN PETUNIA,9827982
EASTERN ROSELLE,9909742
EASTERN SPIRAEA,9909754
EASTERN XANTHINA,9435052
ECO TRADER,9989261
EDEN,9865776
EFFICIENCY OL,9491666
EFFIE MAERSK,9682978
EGE M,9323895
EHIME QUEEN,9767522
ELISABETH MAERSK,9682980
EMERALD EXPRESS,9425564
EMERALD STAR,9449261
EMPEROR PAMPERO,9759991
EMPRESS ZONDA,9871787
ENEOS EXPLORER,9935492
ENJOY GLORY,9434448
EPANASTASEA,9319686
EPICURUS,9328560
ESSIEN,9617454
ETERNITY SW,9425851
ETOILE,9232060
EVA GLOBAL,9972452
EVA ISTANBUL,9972440
EVA LINDEN,9972646
EVA MAERSK,9682992
EVA RICHMOND,9972634
EVER GIFTED,9786827
EVER GLOBE,9786841
EVER GRADE,9820855
EVER GREET,9832729
EVERGREEN MARINER,9902873
FAIRCHEM CONQUEST,9798648
GINGA COPPER,9829758
GINGA CUTLASS,9746164
FAIRCHEM ENDURANCE,9800441
FAIRCHEM FORTITUDE,9805910
FAIRCHEM HONOR,9860207
FAIRCHEM LOYALTY,9791183
FAIRCHEM SUCCESS,9758090
FAIRCHEM TRIUMPH,9758038
FAIRCHEM VALOR,9791195
FATEMA JAHAN II,9425772
FETHIYE-M,9485899
FIRST DELPHINUS,9989730
FIRST FALCON,9974084
FRONTIER BONANZA,9511947
FRONTIER LEADER,9610119
FRONTIER MARINER,9902847
FRONTIER UNITY,9604976
G.SWAN,9611955
GALUNGGUNG,9455791
GALVIN,9387762
GAMALAMA,9524920
GAMSUNORO,9677313
GARNET EXPRESS,9609639
GAS AMBALAT,9710804
GAS ANTASENA,9525194
GAS ARJUNA,9629421
GAS BENUA,9346134
GAS PLANET,9889552
GAS STELLA,9765562
GCL GANGA,9481697
TSV ONE,9481673
GCL MOBILE,9957488
GCL NARMADA,9481685
GCL SABARMATI,9481661
GCL TAPI,9481659
GCL YAMUNA,9481219
GEDE,9455789
GEMINI PEARL,9365362
GENCO AQUITAINE,9490624
GENCO ARDENNES,9490636
GENCO AUGUSTUS,9361249
GENCO AUVERGNE,9557123
GENCO BOURGOGNE,9490662
GENCO BRITTANY,9490698
GENCO CLAUDIUS,9444819
GENCO COLUMBIA,9758129
GENCO COMMODUS,9422079
GENCO CONSTANTINE,9361251
GENCO CONSTELLATION,9714678
GENCO DEFENDER,9718210
GENCO ENDEAVOUR,9698965
GENCO ENTERPRISE,9707699
GENCO FREEDOM,9742651
GENCO HADRIAN,9422067
GENCO HORNET,9721932
GENCO HUNTER,9368871
GENCO INTREPID,9742209
GENCO LADDEY,9923334
GENCO LANGUEDOC,9490686
GENCO LIBERTY,9718222
GENCO LION,9593464
GENCO LONDON,9430038
GENCO MADELEINE,9705976
GENCO MAGIC,9707364
GENCO MARY,9923205
GENCO MAXIMUS,9422081
GENCO MAYFLOWER,9714680
GENCO PICARDY,9301720
GENCO PREDATOR,9316165
GENCO PYRENEES,9511832
GENCO RANGER,9743289
GENCO RELIANCE,9743291
GENCO RESOLUTE,9698977
GENCO RHONE,9490832
GENCO TIBERIUS,9331555
GENCO TIGER,9593452
GENCO TITUS,9410959
GENCO VIGILANT,9742663
GENCO WARRIOR,9316153
GENCO WASP,9722015
GENCO WEATHERLY,9689172
GH AUSTEN,9421336
GH KAHLO,9617521
GH MADISON,9456915
GH PARKS,9428334
GIA AMBITION,9948425
GINGA JAGUAR,9321873
GLEN COVE,9414228
GLOBAL BONANZA,9512941
GLOBAL FAITH,9554169
GLOBAL HARMONY,9340001
GLOBAL PRIME,9658941
GLOBE ATLAS,9765550
GLOBE FRONTIER,9944986
GLOBE IRIS,9902160
GLOBE POLARIS,9879703
GLOVIS MAPLE,9607019
GLOVIS MARIA,9543615
GLOVIS MELODY,9607007
GLOVIS MERMAID,9543603
GOKOVA M,9243526
GOLD ETERNITY,9993482
GOLDEN KIKU,9934929
GOOD HORIZON,9767089
GREAT TRADER,9937579
GREAT WHITE,9392793
GUNUNG GEULIS PERTAMINA 8004 ETS ROSI I,9398278
HAFNIA CRUX,9461697
HAFNIA LIBRA,9617959
HAFNIA LUPUS,9461685
HAFNIA PEGASUS,9461659
HAFNIA PHOENIX,9461702
HAKATA PRINCESS,9788564
HALCYON,9885594
HANS MAERSK,9389497
HAWKS PROGRESS,9313125
HELENE MAERSK,9389514
HENNING MAERSK,9389526
HENRIETTE MAERSK,9399349
HENRY MAERSK,9399351
HIGH LEADER,9814155
HIGH NAVIGATOR,9814143
HISARONU M,9225524
HL LEADER,9718973
HL MERCURY,9845142
HL PIONEER,9693575
HL VENUS,9845128
HLS AMBER,9883819
HOURAI MARU,9796585
HUDSON TRADER,9937593
HUGE KUMANO,9889277
HULDA MAERSK,9399363
HYUNDAI BUSAN,9305659
HYUNDAI HONGKONG,9305661
HYUNDAI SINGAPORE,9305685
HYUNDAI TOKYO,9305673
IBERIAN BULKER,9782962
ICELAND BULKER,9738739
INCE AKDENIZ,9456460
INCHEON VOYAGER,9963140
INDIAN BULKER,9791925
INDONESIAN BULKER,9806304
INF LIGHT,9274094
IRIS VICTORIA,9564671
IRON PHOENIX,9500766
ISKENDERUN M,9206140
ISTANBUL M,9450818
ITALIAN BULKER,9790933
IVS CRIMSON CREEK,9732149
IVS PROGRESS,9972622
IVS TRADER,9972658
JACQUES,9907794
JAYA,9410387
JENGGALA 21,9454010
JENGGALA BANGO,9394208
JENGGALA NASSIM,9457907
JNS LAKE,1039357
JNS OCEAN,1044508
JNS RIVER,1045227
JNS SEA,1038391
JOHNY,9537903
K. CONFIDENCE,9495416
K. FAITH,9250309
K. HOPE,9613783
K. IRON MOUNTAIN,9850111
K. PREMIUM ORE,9850123
K. RUBY,9514042
K. TAEAN,9708605
K. VICTORY,9495404
K. WESTERN DREAM,9718961
K. YOUNGHUNG,9708590
KAMUI GALAXY,9942653
